,Country,Health
0,Finland,0.874
1,Norway,0.861
2,Denmark,0.868
3,Iceland,0.914
4,Switzerland,0.927
5,Netherlands,0.878
6,Canada,0.896
7,New Zealand,0.876
8,Sweden,0.913
9,Australia,0.91
10,United Kingdom,0.888
11,Austria,0.891
12,Costa Rica,0.817
13,Ireland,0.876
14,Germany,0.861
15,Belgium,0.894
16,Luxembourg,0.896
17,United States,0.819
18,Israel,0.883
19,United Arab Emirates,0.67
20,Czech Republic,0.854
21,Malta,0.884
22,France,0.908
23,Mexico,0.761
24,Chile,0.808
25,Taiwan,0.857
26,Panama,0.759
27,Brazil,0.675
28,Argentina,0.744
29,Guatemala,0.608
30,Uruguay,0.771
31,Qatar,0.748
32,Saudi Arabia,0.633
33,Singapore,1.008
34,Malaysia,0.669
35,Spain,0.965
36,Colombia,0.635
37,Trinidad and Tobago,0.564
38,Slovakia,0.776
39,El Salvador,0.639
40,Nicaragua,0.7
41,Poland,0.781
42,Bahrain,0.698
43,Uzbekistan,0.605
44,Kuwait,0.675
45,Thailand,0.707
46,Italy,0.946
47,Ecuador,0.736
48,Belize,0.474
49,Lithuania,0.716
50,Slovenia,0.856
51,Romania,0.726
52,Latvia,0.671
53,Japan,0.988
54,Mauritius,0.684
55,Jamaica,0.693
56,South Korea,0.955
57,North Cyprus,0.909
58,Russia,0.599
59,Kazakhstan,0.631
60,Cyprus,0.909
61,Bolivia,0.508
62,Estonia,0.737
63,Paraguay,0.615
64,Peru,0.674
65,Kosovo,0.578
66,Moldova,0.62
67,Turkmenistan,0.517
68,Hungary,0.732
69,Libya,0.553
70,Philippines,0.513
71,Honduras,0.622
72,Belarus,0.7
73,Turkey,0.686
74,Pakistan,0.424
75,Hong Kong,1.03
76,Portugal,0.884
77,Serbia,0.685
78,Greece,0.879
79,Lebanon,0.785
80,Montenegro,0.729
81,Croatia,0.737
82,Dominican Republic,0.614
83,Algeria,0.687
84,Morocco,0.669
85,China,0.799
86,Azerbaijan,0.603
87,Tajikistan,0.598
88,Macedonia,0.691
89,Jordan,0.645
90,Nigeria,0.048
91,Kyrgyzstan,0.594
92,Bosnia and Herzegovina,0.758
93,Mongolia,0.575
94,Vietnam,0.702
95,Indonesia,0.522
96,Bhutan,0.527
97,Somalia,0.115
98,Cameroon,0.182
99,Bulgaria,0.712
100,Nepal,0.539
101,Venezuela,0.657
102,Gabon,0.404
103,Palestinian Territories,0.602
104,South Africa,0.33
105,Iran,0.691
106,Ivory Coast,0.08
107,Ghana,0.337
108,Senegal,0.433
109,Laos,0.441
110,Tunisia,0.69
111,Albania,0.79
112,Sierra Leone,0.0
113,Congo (Brazzaville),0.343
114,Bangladesh,0.579
115,Sri Lanka,0.672
116,Iraq,0.536
117,Mali,0.152
118,Namibia,0.365
119,Cambodia,0.457
120,Burkina Faso,0.254
121,Egypt,0.553
122,Mozambique,0.173
123,Kenya,0.454
124,Zambia,0.295
125,Mauritania,0.292
126,Ethiopia,0.391
127,Georgia,0.643
128,Armenia,0.666
129,Myanmar,0.429
130,Chad,0.053
131,Congo (Kinshasa),0.204
132,India,0.485
133,Niger,0.221
134,Uganda,0.237
135,Benin,0.24
136,Sudan,0.312
137,Ukraine,0.609
138,Togo,0.253
139,Guinea,0.211
140,Lesotho,0.079
141,Angola,0.269
142,Madagascar,0.402
143,Zimbabwe,0.248
144,Afghanistan,0.255
145,Botswana,0.417
146,Malawi,0.306
147,Haiti,0.289
148,Liberia,0.267
149,Syria,0.539
150,Rwanda,0.4
151,Yemen,0.343
152,Tanzania,0.381
153,South Sudan,0.177
154,Central African Republic,0.01
155,Burundi,0.145
